ASIN,大类目,月销量
B0FR1WDQ87,Sports & Outdoors,473
B0G1HTX8WP,Sports & Outdoors,487
B0FQV2G1H4,Sports & Outdoors,311
B0FXM3NW3Y,Sports & Outdoors,274
B0FRFH8151,Sports & Outdoors,426
B0F37RB99T,Sports & Outdoors,299
B0FPBZ31P3,Sports & Outdoors,331
B0FQTCX842,Sports & Outdoors,433
B0G3X15DFQ,Sports & Outdoors,286
B0FMPFJ9CS,Sports & Outdoors,407
